Título,Fonte,1,2,3,4,5,6,7,8,9,10
Extraction of Agricultural Fields via DASFNet,"South Xinjiang, China","Yes (pp. 1–3, 5, 6, 8, 12, 20)","Yes (pp. 1, 2, 4, 5, 17, 20)","Yes (pp. 1–3, 5–8, 13–20)",Yes (p. 4),"Yes (pp. 2, 10–14)",Yes (pp. 5–9),Yes (p. 4),Partially (p. 10),Yes (p. 4),Yes (pp. 18–20)
High-Resolution U-Net,Cultivated Land Extraction,"Yes (pp. 1–3, 6, 12)","Yes (pp. 1, 4–5)","Yes (pp. 1–2, 6, 9, 13)",Yes (pp. 4–5),"Yes (pp. 2, 12–14)",Yes (pp. 6–11),Yes (p. 5),"Yes (pp. 5, 12–13)","Yes (pp. 5, 12)",Yes (pp. 19–20)
Improved Agricultural Field Segmentation,TL-ResUNet Architecture,"Yes (pp. 1–2, 4, 6)","Yes (pp. 1–2, 5)","Yes (pp. 2–3, 6–7)",Yes (pp. 4–5),Yes (pp. 9–12),Yes (pp. 6–8),Yes (pp. 5–6),Partially (p. 9),Yes (p. 6),"Yes (pp. 10, 12)"
Irrigated Rice Crop Identification,Southern Brazil with CNN,"Yes (pp. 1–2, 6–7)","Yes (pp. 1, 2)","Yes (pp. 1–3, 6)",Yes (pp. 3–5),Yes (pp. 6–8),Yes (pp. 5–6),Yes (p. 5),Yes (p. 5),Yes (p. 5),Yes (pp. 8–10)
Land Cover Segmentation with DeepLabV3,DeepLabV3 + ResNet50,"Yes (pp. 1, 3–4)",Partially (pp. 1–2),Yes (pp. 1–4),Yes (pp. 2–3),Yes (p. 4),Yes (pp. 3–4),Yes (p. 4),Partially (p. 4),Yes (p. 4),Yes (pp. 4–5)
MeViT,Vision Transformer in Thailand,"Yes (pp. 1, 2, 3, 6)","Yes (pp. 1, 2, 4, 6, 7)","Yes (pp. 1–4, 7–9)","Yes (pp. 2, 7–8)","Yes (pp. 2, 5, 6–7)","Yes (pp. 2–4, 7–9)",Yes (p. 8),Partially (p. 8),No,"Partially (pp. 6–7, 9)"
Data Fusion Using Deep Learning,Segmentation in the Amazon,"Yes (pp. 1, 2, 6, 7)","Yes (pp. 1–2, 6–8)","Yes (pp. 1, 3–4, 6–9)",Yes (pp. 6–7),Yes (pp. 9–10),Yes (pp. 7–8),Yes (pp. 7–8),Yes (pp. 8–9),Yes (pp. 7–8),Yes (pp. 10–12)
MRSSA-Net for Non-grain Monitoring,Longan–Litchi Segmentation,"Yes (pp. 1–2, 4, 6)","Yes (pp. 1–2, 4–5)","Yes (pp. 1–3, 6–7)",Yes (p. 5),Yes (pp. 6–7),Yes (pp. 4–6),Yes (p. 5),Partially (p. 5),Yes (p. 4),"Partially (p. 2, 7)"
PSPO for PG Mapping,Plastic Greenhouse Detection,"Yes (pp. 1–2, 6–8)","Yes (pp. 1–3, 7, 15)","Yes (pp. 1, 3–4, 6–10)",Yes (pp. 6–7),Yes (pp. 10–13),Yes (pp. 6–10),Yes (pp. 7–8),Yes (pp. 8–9),Yes (p. 6),Yes (pp. 15–16)
Crop Planting Classification,Improved SegNet on Sentinel-2,"Yes (pp. 1–2, 4, 6)","Yes (pp. 1, 4–5)","Yes (pp. 1–2, 4–6)",Yes (p. 4),Yes (p. 6),Yes (pp. 4–5),Yes (p. 6),Partially (p. 6),Yes (p. 6),No
