Pergunta,Satellite Imagery Analysis for Crop Type Segmentation Using U-Net Architecture,Semantic Segmentation for Land Cover Using Bhuvan 2D Satellite Images,Semantic Segmentation of Paddy Parcels Using Deep Neural Networks Based on DeepLabV3,Semantic Segmentation of Sentinel-2 Imagery for Mapping Irrigation Center Pivots,"Semantic Segmentation using Deep Learning: A Case of Study in Albufera Park, Valencia",The Remote Sensing Image Segmentation of Land Cover Based on Multi-scale Attention Features,Toward Agricultural Cultivation Parcels Extraction in the Complex Mountainous Areas,Training Strategies of CNN for Land Cover Mapping with High Resolution Multi-Spectral Imagery in Senegal
1. O estudo aplica segmentação semântica ou classificação baseada em objetos?,Yes (p.3418–3419),Yes (p.1853–1854),Yes (p.173–174),"Yes (p.1–2, 9)",Yes (p.1–2),Yes (p.1–2),"Yes (p.1, 3)","Yes (p.1, 3)"
2. A aplicação está focada em áreas agrícolas?,Yes (p.3418),Partially (p.1853),Yes (p.173),Yes (p.1–3),Yes (p.1),"Yes (p.1, 4)",Yes (p.1–2),Yes (p.1–2)
"3. O estudo utiliza métodos de aprendizado de máquina, aprendizado profundo ou IA?",Yes (p.3419–3424),Yes (p.1853–1855),Yes (p.173–176),Yes (p.1–4),Yes (p.1–2),Yes (p.1–4),Yes (p.3–4),"Yes (p.1, 4)"
"4. As fontes de dados são claramente descritas (satélite, UAV, multiespectral etc.)?","Yes (p.3418, 3422)",Yes (p.1854),Yes (p.174),Yes (p.4–6),Yes (p.1–3),Yes (p.5),Yes (p.2–3),Yes (p.2–3)
"5. Métricas quantitativas de desempenho são reportadas (IoU, F1-score, acurácia etc.)?",Yes (p.3426),Yes (p.1855–1856),Yes (p.176–177),Yes (p.10),Yes (p.3–5),Yes (p.6–8),Yes (p.6),Yes (p.6)
6. A arquitetura do modelo está suficientemente descrita para permitir replicação?,Yes (p.3423–3424),Yes (p.1854),Yes (p.175–176),Yes (p.7–8),Yes (p.2),Yes (p.3–5),Yes (p.4),Yes (p.4)
7. O tamanho da amostra (nº de imagens ou áreas) é reportado e adequado?,Yes (p.3422),Partially (não especifica nº exato),Yes (p.175),Yes (p.7),Yes (p.4),Yes (p.5),Yes (p.6),Yes (p.5)
"8. São aplicadas técnicas de validação (cross-validation, holdout etc.)?",Yes (p.3424),Yes (p.1855),Yes (p.176),"Yes (p.7, 9)",Yes (p.4),Partially (sem validação cruzada),Yes (p.6),Partially (p.5–6)
"9. As técnicas de pré-processamento são descritas (normalização, NDVI, etc.)?",Yes (p.3422–3423),Yes (p.1854),Yes (p.174),Yes (p.6–7),Yes (p.3–4),Yes (p.5),Yes (p.3),Yes (p.3)
10. Limitações ou desafios são discutidos pelos autores?,Yes (p.3427),Yes (p.1856),Yes (p.177–178),Yes (p.13–15),Yes (p.4–5),Yes (p.8),Yes (p.8),Yes (p.7)
